"Name","DisplayName","Status","StartType"
"ADWS","Active Directory Web Services","Running","Automatic"
"AJRouter","AllJoyn Router Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Stopped","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual"
"Audiosrv","Windows Audio","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Disabled"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"bthserv","Bluetooth Support Service","Stopped","Disabled"
"camsvc","Capability Access Manager Service","Running","Manual"
"CaptureService_9bc59a","CaptureService_9bc59a","Stopped","Manual"
"cbdhsvc_9bc59a","Clipboard User Service_9bc59a","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_9bc59a","Connected Devices Platform User Service_9bc59a","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_9bc59a","ConsentUX User Service_9bc59a","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_9bc59a","CredentialEnrollmentManagerUserSvc_9bc59a","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Disabled"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_9bc59a","DeviceAssociationBroker_9bc59a","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Stopped","Manual"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicePickerUserSvc_9bc59a","DevicePicker_9bc59a","Stopped","Disabled"
"DevicesFlowUserSvc_9bc59a","DevicesFlow_9bc59a","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dfs","DFS Namespace","Stopped","Automatic"
"DFSR","DFS Replication","Running","Automatic"
"Dhcp","DHCP Client","Running","Automatic"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Disabled"
"DNS","DNS Server","Running","Automatic"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Stopped","Manual"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Running","Manual"
"DsRoleSvc","DS Role Server","Stopped","Manual"
"DsSvc","Data Sharing Service","Running","Manual"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Stopped","Manual"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Disabled"
"hidserv","Human Interface Device Service","Stopped","Manual"
"HvHost","HV Host Service","Stopped","Manual"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual"
"InstallService","Microsoft Store Install Service","Stopped","Manual"
"iphlpsvc","IP Helper","Running","Automatic"
"IsmServ","Intersite Messaging","Running","Automatic"
"Kdc","Kerberos Key Distribution Center","Running","Automatic"
"KdsSvc","Microsoft Key Distribution Service","Stopped","Manual"
"KeyIso","CNG Key Isolation","Running","Manual"
"KPSSVC","KDC Proxy Server service (KPS)","Stopped","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Geolocation Service","Stopped","Disabled"
"LicenseManager","Windows License Manager Service","Stopped","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Disabled"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual"
"LSM","Local Session Manager","Running","Automatic"
"MapsBroker","Downloaded Maps Manager","Stopped","Disabled"
"McpManagementService","McpManagementService","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Running","Automatic"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"Netlogon","Netlogon","Running","Automatic"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","Network Location Awareness","Running","Automatic"
"nsi","Network Store Interface Service","Running","Automatic"
"NTDS","Active Directory Domain Services","Running","Automatic"
"NtFrs","File Replication","Stopped","Disabled"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PimIndexMaintenanceSvc_9bc59a","Contact Data_9bc59a","Stopped","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Running","Manual"
"Power","Power","Running","Automatic"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
