Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\bfsvc.exe","Signed","4:52 PM 3/2/2022","Microsoft Windows","Microsoft Corporation","Boot File Servicing Utility","Microsoft® Windows® Operating System","10.0.20348.230","10.0.20348.230 (WinBuild.160101.0800)","64-bit","CEEC67498CD87E43670145DF45DD4675","95E877F41F566E49A2AEFA35CC6FE3E872AA33BC","1FA24CEF002A7AAD33208D097B95664F1AA2691C","528332EEA0D2B8ACC55D794513EE70BB70B9B5311F6CF3838CD0411C7B83856C","C32B18781A26063D33E35A80895BDF7766785F19FF449710F469DA7478093E77","1D9312D1ACB43A76C11254A81616CFDD"
"c:\windows\bootstat.dat","Error accessing file","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","B26E26D21FA3F087F63F47808B88B4ED","20DD9B1AA1FD97218342296D4DE755CFCD12B57D","20DD9B1AA1FD97218342296D4DE755CFCD12B57D","31076350AB05CD985568FED747F4A2F16958ED0BE56CD7D211E70BD6B41C68D0","31076350AB05CD985568FED747F4A2F16958ED0BE56CD7D211E70BD6B41C68D0","n/a"
"c:\windows\DtcInstall.log","Unsigned","3:50 PM 2/3/2025","n/a","n/a","n/a","n/a","n/a","n/a","n/a","B573E7DDCC812276314F60466BC534EE","819B37EAAE50809FD91FB9408EC4256B3C6EB878","819B37EAAE50809FD91FB9408EC4256B3C6EB878","4CBD34809CAB8DAE3584E3E55B091B3D938388607B1D8BABA458A448BA08A821","4CBD34809CAB8DAE3584E3E55B091B3D938388607B1D8BABA458A448BA08A821","n/a"
"c:\windows\explorer.exe","Signed","7:06 AM 2/10/2022","Microsoft Windows","Microsoft Corporation","Windows Explorer","Microsoft® Windows® Operating System","10.0.20348.558","10.0.20348.558 (WinBuild.160101.0800)","64-bit","7761D5917FA1ADC297A5CE0CF1E242EB","DBE123D35922CDFE3EBA25D197BBE44B84A47E0D","36421D5120222BFF55A14C716580836D8CD90B67","19252086F34F4A76D2D43F0070511E2AE167278FDCC25C12506DC1B83649359E","A3C36C8481AF88A925BFF1BB0283C028B531E1DC1167D279186A046091BF37CE","BECD30EE79098B21A5BA5E5CF0E18B83"
"c:\windows\HelpPane.exe","Signed","12:21 AM 5/8/2021","Microsoft Windows","Microsoft Corporation","Microsoft Help and Support","Microsoft® Windows® Operating System","10.0.20348.1","10.0.20348.1 (WinBuild.160101.0800)","64-bit","3EDAE859CB8D96E5C39241E23CD406DC","0AE99F39941ED29C1004CB29B172B9AEF41C00F6","252E7FA46EA16386A8539211748A789E456B54DE","5083CA4B238D6DD6B88D9078A4186BA04119ABF7C76AECD4E4F82084CA5A3258","074A6B40C1651AEF27A862FFC1F67A9A12C84E2B71C1258DFAA512569A104DE1","2AE28AC7925FC7202C953129236BE663"
"c:\windows\hh.exe","Signed","12:21 AM 5/8/2021","Microsoft Windows","Microsoft Corporation","Microsoft® HTML Help Executable","HTML Help","10.0.20348.1","10.0.20348.1 (WinBuild.160101.0800)","64-bit","44A6B0A791E00D169EC0FFCFF0A17EB3","641EF54FAECFA4E912DB88075FD25AABDB233A79","0B9EF84DC1952D15890708F11C61F4A79DFA5B54","E3D9C2D350197222DA79156AC8596BC0F12C41084CF315FE949D2C4E22D3E86D","39811F6070E82E9AA67A4D3E6153A7CD70519DBBAC36067157C573E2F736AA9E","D3D9C3E81A404E7F5C5302429636F04C"
"c:\windows\lsasetup.log","Unsigned","3:49 PM 2/3/2025","n/a","n/a","n/a","n/a","n/a","n/a","n/a","07A6258F2FF233CDEC7C5EF28F0BF352","E1AB1A0CEA4B5B3977DC4AD86FF664B8B07D96BD","E1AB1A0CEA4B5B3977DC4AD86FF664B8B07D96BD","DAFA9341C0F4A2100E3CDB8011B1AEA5E41549ED5F134290CE4D7BE1C8AB119D","DAFA9341C0F4A2100E3CDB8011B1AEA5E41549ED5F134290CE4D7BE1C8AB119D","n/a"
"c:\windows\mib.bin","Signed","4:52 PM 3/2/2022","Microsoft Windows","n/a","n/a","n/a","n/a","n/a","n/a","23AF90D2355D8C83AA4567EF1763B467","08007F178BE90CA8CB97DE922AC4F8BF45691404","08007F178BE90CA8CB97DE922AC4F8BF45691404","C2BF719B19848FB90245A45A19160B479BE8138FF17DC82EA38C5EE65D20097B","C2BF719B19848FB90245A45A19160B479BE8138FF17DC82EA38C5EE65D20097B","n/a"
"c:\windows\notepad.exe","Signed","11:11 PM 5/7/2021","Microsoft Windows","Microsoft Corporation","Notepad","Microsoft® Windows® Operating System","10.0.20348.1","10.0.20348.1 (WinBuild.160101.0800)","64-bit","D1B7CDDA67EEE0C98833B0CDB94403DA","58BF532F93949CC62821273F778B87DA85787AFA","59F621843A3F9CEE72BF1969186D5FAB43787EFB","F54C17D728D06BF888691A8B3622DEA5DCB59A11AFE4E3321D116DC0D02F544F","B65079972E88691FE19B5D4D5EB3159F6CD627FB6C4F09AE9B9DF959330082DF","6B4FA5BA42928C186636D2D0E31789E6"
"c:\windows\regedit.exe","Signed","3:58 PM 1/5/2022","Microsoft Windows","Microsoft Corporation","Registry Editor","Microsoft® Windows® Operating System","10.0.20348.1","10.0.20348.1 (WinBuild.160101.0800)","64-bit","FEA68FB10D62CBADF484DC1D2F44ED11","DF734F208FD4AEBC46737E39F69C6EB79859FFDF","82CB43C2C7EAD94F9F960091FB9B2476674508C5","EB4D8B289C8A09A37855139DB577B1FAD278E04252C55C59402D2648F503480F","130CCBC0F216B4BBEA7C6E9AAEF7FAA04D9094069C2761E5CE8BB7B37FCE1B4B","7B31F8B804C68FEE0C587A9398622F30"
"c:\windows\ServerStandardEval.xml","Signed","4:49 PM 3/2/2022","Microsoft Windows","n/a","n/a","n/a","n/a","n/a","n/a","A6341A654F5EB0A965F5F32CE518EEF3","9DD07B453B9A69F585AE90607A8134AF58467457","9DD07B453B9A69F585AE90607A8134AF58467457","9BC9FE2346103515324BF1FE0C944C03084675A5F8F13E57686C11DC0E241E7A","9BC9FE2346103515324BF1FE0C944C03084675A5F8F13E57686C11DC0E241E7A","n/a"
"c:\windows\splwow64.exe","Signed","4:53 PM 3/2/2022","Microsoft Windows","Microsoft Corporation","Print driver host for applications","Microsoft® Windows® Operating System","10.0.20348.405","10.0.20348.405 (WinBuild.160101.0800)","64-bit","1C8BDDAFA98315026BA63B723F7BA3A0","3343F66F085AA42B31092C8B3FFD5E08E27F601D","9DEFAC05216BFB5493C98DA1EF2BAF901DD11A29","1DA11EB062A1B841E328B0D6AA3B9046640C59ECAC6CDCF17E532692525811F9","4B4A7DA652D6FDEE01C899909719991DD8A7859AFBEF8C341AE64B93B7723BD1","A59C09F03244F0F5F6BA43A408CAD486"
