"Check","Name","Value"
"UnquotedServicePath","AJRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","AppIDSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","Appinfo","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","AppMgmt","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","AppReadiness","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"UnquotedServicePath","AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p"
"UnquotedServicePath","AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","AxInstSV","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"UnquotedServicePath","BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"UnquotedServicePath","BITS","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","bthserv","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","camsvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"UnquotedServicePath","CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","CertPropSvc","C:\Windows\system32\svchost.exe -k netsvcs"
"UnquotedServicePath","ClipSVC","C:\Windows\System32\svchost.exe -k wsappx -p"
"UnquotedServicePath","COMSysApp","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"UnquotedServicePath","CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"UnquotedServicePath","CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","CscService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","defragsvc","C:\Windows\system32\svchost.exe -k defragsvc"
"UnquotedServicePath","DeviceAssociationService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","DeviceInstall","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","DevQueryBroker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","DiagTrack","C:\Windows\System32\svchost.exe -k utcsvc -p"
"UnquotedServicePath","DispBrokerDesktopSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","DmEnrollmentSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","dmwappushservice","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","Dnscache","C:\Windows\system32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","DoSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","dot3svc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","DPS","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"UnquotedServicePath","DsmSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","DsSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","EapHost","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","embeddedmode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","EntAppSvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"UnquotedServicePath","EventLog","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","EventSystem","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","fdPHost","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","FDResPub","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UnquotedServicePath","FontCache","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","FrameServer","C:\Windows\System32\svchost.exe -k Camera"
"UnquotedServicePath","FrameServerMonitor","C:\Windows\System32\svchost.exe -k CameraMonitor"
"UnquotedServicePath","gpsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"UnquotedServicePath","hidserv","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","HvHost","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","IKEEXT","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","InstallService","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"UnquotedServicePath","KPSSVC","C:\Windows\system32\svchost.exe -k KpsSvcGroup"
"UnquotedServicePath","KtmRm","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"UnquotedServicePath","LanmanServer","C:\Windows\System32\svchost.exe -k smbsvcs"
"UnquotedServicePath","LanmanWorkstation","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","lfsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","LicenseManager","C:\Windows\System32\svchost.exe -k LocalService -p"
"UnquotedServicePath","lltdsvc","C:\Windows\System32\svchost.exe -k LocalService -p"
"UnquotedServicePath","lmhosts","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","LSM","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","McpManagementService","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup"
"UnquotedServicePath","mpssvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"UnquotedServicePath","MSiSCSI","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","msiserver","C:\Windows\system32\msiexec.exe /V"
