"Category","Type","Name","DisplayName","Path"
"Services","UnquotedServicePath","AJRouter","AllJoyn Router Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","AppIDSvc","Application Identity","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","Appinfo","Application Information","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","AppMgmt","Application Management","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","AppReadiness","App Readiness","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"Services","UnquotedServicePath","AppXSvc","AppX Deployment Service (AppXSVC)","C:\Windows\system32\svchost.exe -k wsappx -p"
"Services","UnquotedServicePath","AudioEndpointBuilder","Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","Audiosrv","Windows Audio","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","AxInstSV","ActiveX Installer (AxInstSV)","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"Services","UnquotedServicePath","BFE","Base Filtering Engine","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Services","UnquotedServicePath","BITS","Background Intelligent Transfer Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","BrokerInfrastructure","Background Tasks Infrastructure Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","bthserv","Bluetooth Support Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","camsvc","Capability Access Manager Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Services","UnquotedServicePath","CDPSvc","Connected Devices Platform Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","CertPropSvc","Certificate Propagation","C:\Windows\system32\svchost.exe -k netsvcs"
"Services","UnquotedServicePath","ClipSVC","Client License Service (ClipSVC)","C:\Windows\System32\svchost.exe -k wsappx -p"
"Services","UnquotedServicePath","COMSysApp","COM+ System Application","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"Services","UnquotedServicePath","CoreMessagingRegistrar","CoreMessaging","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"Services","UnquotedServicePath","CryptSvc","Cryptographic Services","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","CscService","Offline Files","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","DcomLaunch","DCOM Server Process Launcher","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","defragsvc","Optimize drives","C:\Windows\system32\svchost.exe -k defragsvc"
"Services","UnquotedServicePath","DeviceAssociationService","Device Association Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","DeviceInstall","Device Install Service","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","DevQueryBroker","DevQuery Background Discovery Broker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","Dhcp","DHCP Client","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","DiagTrack","Connected User Experiences and Telemetry","C:\Windows\System32\svchost.exe -k utcsvc -p"
"Services","UnquotedServicePath","DispBrokerDesktopSvc","Display Policy Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","DmEnrollmentSvc","Device Management Enrollment Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","Dnscache","DNS Client","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","DoSvc","Delivery Optimization","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","dot3svc","Wired AutoConfig","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","DPS","Diagnostic Policy Service","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Services","UnquotedServicePath","DsmSvc","Device Setup Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","DsSvc","Data Sharing Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","EapHost","Extensible Authentication Protocol","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","edgeupdate","Microsoft Edge Update Service (edgeupdate)","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"Services","UnquotedServicePath","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
"Services","UnquotedServicePath","embeddedmode","Embedded Mode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","EntAppSvc","Enterprise App Management Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Services","UnquotedServicePath","EventLog","Windows Event Log","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","EventSystem","COM+ Event System","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","fdPHost","Function Discovery Provider Host","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","FDResPub","Function Discovery Resource Publication","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","FontCache","Windows Font Cache Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","FrameServer","Windows Camera Frame Server","C:\Windows\System32\svchost.exe -k Camera"
"Services","UnquotedServicePath","FrameServerMonitor","Windows Camera Frame Server Monitor","C:\Windows\System32\svchost.exe -k CameraMonitor"
"Services","UnquotedServicePath","gpsvc","Group Policy Client","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","GraphicsPerfSvc","GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"Services","UnquotedServicePath","hidserv","Human Interface Device Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","HvHost","HV Host Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","IKEEXT","IKE and AuthIP IPsec Keying Modules","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","InstallService","Microsoft Store Install Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","iphlpsvc","IP Helper","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"Services","UnquotedServicePath","KPSSVC","KDC Proxy Server service (KPS)","C:\Windows\system32\svchost.exe -k KpsSvcGroup"
