﻿"InterfaceAlias","IPAddress","AddressFamily","Section"
"Loopback Pseudo-Interface 1","::1","IPv6","IPAddresses"
"Ethernet","10.0.2.7","IPv4","IPAddresses"
"Loopback Pseudo-Interface 1","127.0.0.1","IPv4","IPAddresses"
"Ethernet",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Ethernet",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Ethernet",,,"RoutingTable"
"Ethernet",,,"RoutingTable"
"Ethernet",,,"RoutingTable"
"Ethernet",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
"Loopback Pseudo-Interface 1",,,"RoutingTable"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"
,,,"ListeningPorts"

