"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","3412","0","4792320","29/04/2025 1:48:08"
"csrss","468","0,234375","6344704","28/04/2025 19:12:25"
"csrss","552","0,234375","6737920","28/04/2025 19:12:25"
"ctfmon","944","0,078125","15540224","29/04/2025 10:41:07"
"dfsrs","2792","0,640625","24969216","29/04/2025 1:48:07"
"dns","2776","1,734375","130269184","29/04/2025 1:48:07"
"dwm","836","2,734375","70033408","28/04/2025 19:12:27"
"explorer","1916","2,328125","10362880","29/04/2025 10:41:08"
"fontdrvhost","3228","0,046875","4272128","29/04/2025 1:48:23"
"fontdrvhost","3232","0,09375","5054464","29/04/2025 1:48:23"
"Idle","0",,"8192",
"ismserv","2784","0","6352896","29/04/2025 1:48:07"
"LogonUI","6732","0,1875","45076480","29/04/2025 10:53:38"
"lsass","700","14,734375","67887104","28/04/2025 19:12:25"
"Microsoft.ActiveDirectory.WebServices","2824","0,90625","50532352","29/04/2025 1:48:07"
"MicrosoftEdgeUpdate","4200","0,03125","4870144","29/04/2025 1:49:41"
"msdtc","4132","0,078125","10682368","29/04/2025 1:49:41"
"MsMpEng","2916","17,9375","215896064","29/04/2025 1:48:07"
"NisSrv","3960","0,03125","10788864","29/04/2025 1:48:10"
"Registry","124","0,6875","67194880","28/04/2025 19:12:20"
"RuntimeBroker","5388","0,59375","38948864","29/04/2025 10:41:12"
"RuntimeBroker","5556","0","14909440","29/04/2025 10:41:11"
"RuntimeBroker","6312","0,078125","13352960","29/04/2025 10:41:14"
"SearchApp","1268","0,640625","58507264","29/04/2025 10:41:11"
"services","684","1,171875","13836288","28/04/2025 19:12:25"
"sihost","5404","0,1875","26939392","29/04/2025 10:41:07"
"smss","364","0,125","1286144","28/04/2025 19:12:21"
"StartMenuExperienceHost","3440","0,359375","55263232","29/04/2025 10:41:11"
"svchost","416","0","5537792","28/04/2025 19:12:27"
"svchost","716","0,046875","7286784","28/04/2025 19:12:27"
"svchost","916","0,5","23105536","28/04/2025 19:12:27"
"svchost","964","1","11837440","28/04/2025 19:12:27"
"svchost","980","0,078125","10084352","28/04/2025 19:12:27"
"svchost","1016","0,09375","8556544","28/04/2025 19:12:27"
"svchost","1028","0,03125","7352320","28/04/2025 19:12:27"
"svchost","1112","0","12308480","28/04/2025 19:12:27"
"svchost","1124","0,1875","7319552","28/04/2025 19:12:27"
"svchost","1168","0,9375","10350592","28/04/2025 19:12:27"
"svchost","1248","0,046875","16723968","29/04/2025 10:43:29"
"svchost","1264","0,09375","8503296","29/04/2025 1:47:58"
"svchost","1300","1,109375","20852736","28/04/2025 19:12:27"
"svchost","1320","0,21875","18870272","28/04/2025 19:12:27"
"svchost","1428","0,046875","12484608","28/04/2025 19:12:27"
"svchost","1440","0,125","15671296","29/04/2025 1:49:41"
"svchost","1484","0,0625","11661312","28/04/2025 19:12:27"
"svchost","1492","0,0625","8728576","29/04/2025 10:40:51"
"svchost","1496","0,046875","8151040","28/04/2025 19:12:27"
"svchost","1508","0","6025216","28/04/2025 19:12:27"
"svchost","1520","0,46875","14151680","28/04/2025 19:12:27"
"svchost","1624","0,1875","7757824","29/04/2025 1:47:58"
"svchost","1644","0,125","10977280","29/04/2025 1:47:58"
"svchost","1708","0","8634368","29/04/2025 1:47:58"
"svchost","1752","0,109375","12148736","29/04/2025 1:47:58"
"svchost","1760","0,796875","16236544","29/04/2025 1:47:58"
"svchost","1792","0,09375","9076736","29/04/2025 1:47:58"
"svchost","1868","0","12976128","29/04/2025 1:47:58"
"svchost","2068","0,234375","9375744","29/04/2025 1:47:58"
"svchost","2208","0,078125","9211904","29/04/2025 1:47:58"
"svchost","2276","0,09375","11747328","29/04/2025 1:47:58"
"svchost","2432","0,078125","12414976","29/04/2025 10:41:07"
"svchost","2460","0","7413760","29/04/2025 1:47:58"
"svchost","2512","0,0625","13275136","29/04/2025 1:48:07"
"svchost","2520","0,21875","12857344","29/04/2025 2:14:21"
"svchost","2660","0,125","8949760","29/04/2025 1:48:07"
"svchost","2740","0,25","13463552","29/04/2025 1:48:07"
"svchost","2748","1,09375","31711232","29/04/2025 1:48:07"
"svchost","2760","0,109375","6258688","29/04/2025 1:48:07"
"svchost","2800","0","7303168","29/04/2025 1:48:07"
"svchost","2860","0,03125","6905856","29/04/2025 1:48:07"
"svchost","2912","0,0625","11915264","29/04/2025 1:49:42"
"svchost","2940","1,640625","21086208","29/04/2025 1:48:07"
"svchost","2968","0,03125","11841536","29/04/2025 1:48:07"
"svchost","3040","0,5","16777216","29/04/2025 1:48:07"
"svchost","3200","0","11608064","29/04/2025 1:49:41"
"svchost","3536","0,0625","14942208","29/04/2025 10:41:07"
"svchost","4224","4,484375","16072704","29/04/2025 1:49:41"
"svchost","4228","0,0625","14626816","29/04/2025 1:48:54"
"svchost","4280","0,046875","13549568","29/04/2025 1:49:41"
"svchost","4376","0","7274496","29/04/2025 1:48:23"
"svchost","4384","0,078125","10797056","29/04/2025 1:58:29"
"svchost","5340","0,203125","26312704","29/04/2025 10:41:07"
"svchost","5380","0","7692288","29/04/2025 10:41:07"
"svchost","6088","0","6356992","29/04/2025 10:44:26"
"System","4","15,75","126976","28/04/2025 19:12:21"
"taskhostw","2136","0,0625","12517376","29/04/2025 10:41:07"
"TextInputHost","5884","0,15625","43704320","29/04/2025 10:41:11"
"VBoxService","1412","0,140625","7188480","28/04/2025 19:12:27"
"VBoxTray","6800","0,015625","4247552","29/04/2025 10:41:27"
"vds","3344","0,21875","11452416","29/04/2025 1:48:08"
"wininit","544","0,0625","7176192","28/04/2025 19:12:25"
"winlogon","612","0,03125","11935744","28/04/2025 19:12:25"
"wlms","2956","0,03125","3706880","29/04/2025 1:48:07"
"WmiPrvSE","5888","0,125","13758464","29/04/2025 11:11:10"
"wsmprovhost","1060","0,1875","72380416","29/04/2025 3:28:44"
"wsmprovhost","3224","0,46875","137060352","29/04/2025 3:34:15"
"wsmprovhost","4072","1,21875","152326144","29/04/2025 10:40:18"
"wsmprovhost","4860","0,546875","131063808","29/04/2025 3:32:18"
"wsmprovhost","4892","0,875","146518016","29/04/2025 11:11:10"
"wsmprovhost","5448","0,53125","138129408","29/04/2025 9:44:35"
"wsmprovhost","6108","1,3125","146952192","29/04/2025 9:52:35"
