"DisplayName","Name","State","StartMode","PathName","Suspicious"
"1394 OHCI Compliant Host Controller","1394ohci","Stopped","Manual","C:\Windows\system32\drivers\1394ohci.sys","False"
"3ware","3ware","Stopped","Manual","C:\Windows\system32\drivers\3ware.sys","False"
"Microsoft ACPI Driver","ACPI","Running","Boot","C:\Windows\system32\drivers\ACPI.sys","False"
"ACPI Devices driver","AcpiDev","Stopped","Manual","C:\Windows\system32\drivers\AcpiDev.sys","False"
"Microsoft ACPIEx Driver","acpiex","Running","Boot","C:\Windows\system32\Drivers\acpiex.sys","False"
"ACPI Processor Aggregator Driver","acpipagr","Stopped","Manual","C:\Windows\system32\drivers\acpipagr.sys","False"
"ACPI Power Meter Driver","AcpiPmi","Stopped","Manual","C:\Windows\system32\drivers\acpipmi.sys","False"
"ACPI Wake Alarm Driver","acpitime","Stopped","Manual","C:\Windows\system32\drivers\acpitime.sys","False"
"Acx01000","Acx01000","Stopped","Manual","C:\Windows\system32\drivers\Acx01000.sys","False"
"ADP80XX","ADP80XX","Stopped","Manual","C:\Windows\system32\drivers\ADP80XX.SYS","False"
"Ancillary Function Driver for Winsock","AFD","Running","System","C:\Windows\system32\drivers\afd.sys","False"
"afunix","afunix","Running","System","C:\Windows\system32\drivers\afunix.sys","False"
"Application Compatibility Cache","ahcache","Running","System","C:\Windows\system32\DRIVERS\ahcache.sys","False"
"AMD GPIO Client Driver","amdgpio2","Stopped","Manual","C:\Windows\system32\drivers\amdgpio2.sys","False"
"AMD I2C Controller Service","amdi2c","Stopped","Manual","C:\Windows\system32\drivers\amdi2c.sys","False"
"AMD K8 Processor Driver","AmdK8","Stopped","Manual","C:\Windows\system32\drivers\amdk8.sys","False"
"AMD Processor Driver","AmdPPM","Running","Manual","C:\Windows\system32\drivers\amdppm.sys","False"
"amdsata","amdsata","Stopped","Manual","C:\Windows\system32\drivers\amdsata.sys","False"
"amdsbs","amdsbs","Stopped","Manual","C:\Windows\system32\drivers\amdsbs.sys","False"
"amdxata","amdxata","Stopped","Manual","C:\Windows\system32\drivers\amdxata.sys","False"
"AppID Driver","AppID","Stopped","Manual","C:\Windows\system32\drivers\appid.sys","False"
"Smartlocker Filter Driver","applockerfltr","Stopped","Manual","C:\Windows\system32\drivers\applockerfltr.sys","False"
"AppvStrm","AppvStrm","Stopped","Manual","C:\Windows\system32\drivers\AppvStrm.sys","False"
"AppvVemgr","AppvVemgr","Stopped","Manual","C:\Windows\system32\drivers\AppvVemgr.sys","False"
"AppvVfs","AppvVfs","Stopped","Manual","C:\Windows\system32\drivers\AppvVfs.sys","False"
"Adaptec SAS/SATA-II RAID Storport's Miniport Driver","arcsas","Stopped","Manual","C:\Windows\system32\drivers\arcsas.sys","False"
"RAS Asynchronous Media Driver","AsyncMac","Stopped","Manual","C:\Windows\system32\drivers\asyncmac.sys","False"
"IDE Channel","atapi","Stopped","Manual","C:\Windows\system32\drivers\atapi.sys","False"
"QLogic Network Adapter VBD","b06bdrv","Stopped","Manual","C:\Windows\system32\drivers\bxvbda.sys","False"
"Background Activity Moderator Driver","bam","Running","System","C:\Windows\system32\drivers\bam.sys","False"
"BasicDisplay","BasicDisplay","Running","System","C:\Windows\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_19e58b6267591a82\BasicDisplay.sys","False"
"BasicRender","BasicRender","Running","System","C:\Windows\system32\DriverStore\FileRepository\basicrender.inf_amd64_d3f5994a67770b50\BasicRender.sys","False"
