"Name","DisplayName","Status","StartType"
"AarSvc_261a55","Agent Activation Runtime_261a55","Stopped","Manual"
"AJRouter","AllJoyn Router Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Stopped","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_261a55","GameDVR and Broadcast User Service_261a55","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Running","Automatic"
"BluetoothUserService_261a55","Bluetooth User Support Service_261a55","Stopped","Manual"
"brave","Brave Update Service (brave)","Stopped","Automatic"
"BraveElevationService","Brave Elevation Service (BraveElevationService)","Stopped","Manual"
"bravem","Brave Update Service (bravem)","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"Browser","Computer Browser","Stopped","Manual"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual"
"BthAvctpSvc","AVCTP service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Disabled"
"camsvc","Capability Access Manager Service","Stopped","Manual"
"CaptureService_261a55","CaptureService_261a55","Stopped","Manual"
"cbdhsvc_261a55","Clipboard User Service_261a55","Running","Manual"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_261a55","Connected Devices Platform User Service_261a55","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
