"Id","Category","DisplayName","Description","Severity","ResultRawString"
"CONFIG_PROXY_AUTO_CONFIG","TA0001 - Initial Access","Proxy auto-configuration","Check whether Web Proxy Auto-Discovery (WPAD) is enabled, and whether a Proxy Auto-Configuration (PAC) file is distributed over HTTPS.","Low","

WinHttpAutoProxyServiceStartMode   : Manual
WinHttpAutoProxyServiceEnabled     : True
WinHttpAutoProxyServiceDescription : The WinHTTP Web Proxy Auto-Discovery service is not disabled.
WpadHostEntry                      : (null)
WpadHostEntryExists                : False
WpadHostEntryDescription           : No 'wpad' entry was found in the 'hosts' file.
DisableWpadKey                     : HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\WinHttp
DisableWpadValue                   : DisableWpad
DisableWpadData                    : (null)
DisableWpadDescription             : WPAD is not disabled in the registry (HKLM).
AutoDetectKey                      : HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings
AutoDetectValue                    : AutoDetect
AutoDetectData                     : (null)
AutoDetectDescription              : Proxy auto detection is not disabled in the registry (HKCU).
AutoConfigUrlMachineKey            : HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings
AutoConfigUrlMachineValue          : AutoConfigURL
AutoConfigUrlMachineData           : (null)
AutoConfigUrlUserKey               : HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings
AutoConfigUrlUserValue             : AutoConfigURL
AutoConfigUrlUserData              : (null)



"
"HARDEN_HIDDEN_FILE_EXTENSIONS","TA0001 - Initial Access","Hidden file name extensions","Check whether extensions of known file types are shown or hidden in the Explorer.","None","

Key         : HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced
Value       : HideFileExt
Expected    : 0
Data        : 0
Description : File name extensions of known file types are shown in the Explorer.



"
"HARDEN_BITLOCKER","TA0001 - Initial Access","BitLocker configuration","Check whether BitLocker is enabled on the system drive and requires a second factor of authentication (PIN or startup key). Note that this check might yield a false positive if a third-party drive encryption software is installed.","Low","

MachineRole : Workstation
TpmPresent  : False
Description : BitLocker is not enabled. No TPM found on this machine, this check is probably irrelevant.



"
"HARDEN_FILE_EXTENSION_ASSOC","TA0001 - Initial Access","File extension associations","Check whether file extensions such as '.bat' or '.wsh' are associated to a text editor. Note that only basic text editors such as 'Notepad' are detected. If a rich text editor is set instead, this check could yield false positives.","Low","
Extension           Command                                                                                            
---------           -------                                                                                            
.application        ""C:\Windows\System32\rundll32.exe"" ""C:\Windows\System32\dfshim.dll"",ShOpenVerbApplication %1       
.appref-ms          ""C:\Windows\System32\rundll32.exe"" ""C:\Windows\System32\dfshim.dll"",ShOpenVerbShortcut %1|%2       
.bat                ""%1"" %*                                                                                            
.chm                ""C:\Windows\hh.exe"" %1                                                                             
.cmd                ""%1"" %*                                                                                            
.com                ""%1"" %*                                                                                            
.cpl                C:\Windows\System32\control.exe ""%1"",%*                                                            
.diagcab            C:\Windows\system32\msdt.exe /cab ""%1""                                                             
.hta                C:\Windows\SysWOW64\mshta.exe ""%1"" {1E460BD7-F1C3-4B2E-88BF-4E770A288AF5}%U{1E460BD7-F1C3-4B2E-8...
.hlp                C:\Windows\winhlp32.exe %1                                                                         
.htm                ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument %1                
.html               ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument %1                
.js                 C:\Windows\System32\WScript.exe ""%1"" %*                                                            
.JSE                C:\Windows\System32\WScript.exe ""%1"" %*                                                            
.library-ms         C:\Windows\Explorer.exe                                                                            
.mht                ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument %1                
.mhtml              ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument %1                
.msc                C:\Windows\system32\mmc.exe ""%1"" %*                                                                
.msrcincident       ""C:\Windows\system32\msra.exe"" -openfile ""%1""                                                      
.pif                ""%1"" %*                                                                                            
.ppkg               ""C:\Windows\System32\provtool.exe"" ""%1"" /source ShellOpen                                          
.psc1               ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -p ""%1""                                
.reg                regedit.exe ""%1""                                                                                   
.scf                C:\Windows\explorer.exe                                                                            
.scr                ""%1"" /S                                                                                            
.searchConnector-ms C:\Windows\Explorer.exe                                                                            
.search-ms          C:\Windows\Explorer.exe                                                                            
.theme              C:\Windows\system32\rundll32.exe C:\Windows\system32\themecpl.dll,OpenThemeAction %1               
.themepack          C:\Windows\system32\rundll32.exe C:\Windows\system32\themecpl.dll,OpenThemeAction %1               
.URL                ""C:\Windows\System32\rundll32.exe"" ""C:\Windows\System32\ieframe.dll"",OpenURL %l                    
.VBE                ""C:\Windows\System32\WScript.exe"" ""%1"" %*                                                          
.vbs                ""C:\Windows\System32\WScript.exe"" ""%1"" %*                                                          
.WSF                ""C:\Windows\System32\WScript.exe"" ""%1"" %*                                                          
.WSH                ""C:\Windows\System32\WScript.exe"" ""%1"" %*                                                          


"
"NET_AIRSTRIKE","TA0001 - Initial Access","Network selection from lock screen","Check whether the 'Do not display network selection UI' policy is enabled on workstations (CVE-2021-28316 - Airstrike attack).","Low","

Key         : HKLM\SOFTWARE\Policies\Microsoft\Windows\System
Value       : DontDisplayNetworkSelectionUI
Data        : (null)
Description : The network selection UI is displayed on the logon screen (default).



"
"NET_WLAN","TA0001 - Initial Access","Wi-Fi profiles","Get information about saved Wi-Fi profiles. Clear-text pre-shared keys (PSK) are displayed when possible, and potentially vulnerable 802.1x profiles are listed.","None",""
"HARDEN_PS_SECURITY_FEATURES","TA0002 - Execution","PowerShell security features","Check whether PowerShell security features are configured and enabled.","Low","

EnableScripts             : 
ExecutionPolicy           : 
ScriptBlockLoggingEnabled : 
ModuleLoggingEnabled      : 
ModuleLoggingModuleList   : 
TranscriptionEnabled      : 
TranscriptionDirectory    : 
Description               : No execution policy is enforced. Script block logging is not enabled. Module logging is not
                             enabled. 



"
"HARDEN_BIOS_MODE","TA0003 - Persistence","UEFI & Secure Boot","Check whether UEFI and Secure Boot are supported and enabled. Note that Secure Boot requires UEFI.","Low","
Name        Vulnerable Description         
----        ---------- -----------         
UEFI              True BIOS mode is Legacy.
Secure Boot      False                     


"
"CONFIG_COM_MISSING_MODULE","TA0003 - Persistence","COM server missing module files","Check whether there are leftover COM servers registered with non-existent modules. Such issues could be leveraged for lateral movement or persistence.","Low","

Id       : A530D54A-DBA0-4b17-9F99-51A7A2CC17CA
Path     : HKLM\SOFTWARE\Classes\CLSID\{A530D54A-DBA0-4b17-9F99-51A7A2CC17CA}
Value    : InProcServer32
FullPath : HKLM\SOFTWARE\Classes\CLSID\{A530D54A-DBA0-4b17-9F99-51A7A2CC17CA}\InProcServer32
Data     : C:\Windows\System32\TetheringSettingHandler.dll
DataType : FilePath

Id       : A533BCB1-6D33-41FC-8C3B-63223FCCE9D2
Path     : HKLM\SOFTWARE\Classes\CLSID\{A533BCB1-6D33-41FC-8C3B-63223FCCE9D2}
Value    : InProcServer32
FullPath : HKLM\SOFTWARE\Classes\CLSID\{A533BCB1-6D33-41FC-8C3B-63223FCCE9D2}\InProcServer32
Data     : C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.147.37\psmachine_64.dll
DataType : FilePath

Id       : B35913A2-BE2E-4FA6-978C-3B130A7EFB98
Path     : HKLM\SOFTWARE\Classes\CLSID\{B35913A2-BE2E-4FA6-978C-3B130A7EFB98}
Value    : InprocServer32
FullPath : HKLM\SOFTWARE\Classes\CLSID\{B35913A2-BE2E-4FA6-978C-3B130A7EFB98}\InprocServer32
Data     : C:\Windows\System32\QuickActionsPS.dll
DataType : FilePath

Id       : C72A0DF6-CBB0-4445-89FA-B03E8A745815
Path     : HKLM\SOFTWARE\Classes\CLSID\{C72A0DF6-CBB0-4445-89FA-B03E8A745815}
Value    : LocalServer32
FullPath : HKLM\SOFTWARE\Classes\CLSID\{C72A0DF6-CBB0-4445-89FA-B03E8A745815}\LocalServer32
Data     : C:\Windows\System32\VailAudioProxy.exe
DataType : CommandLine



"
"CONFIG_COINSTALLERS","TA0004 - Privilege Escalation","Driver co-installers","Check whether Driver Co-installers are disabled. A local user might be able to gain SYSTEM privileges by plugging in a device such as a mouse or keyboard with a vulnerable Driver Co-installer.","Low","

Key         : HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Device Installer
Value       : DisableCoInstallers
Data        : (null)
Description : Driver Co-installers are enabled (default).



"
