"InterfaceAlias","IPAddress","AddressFamily","DestinationPrefix","NextHop","RouteMetric","LocalAddress","LocalPort","OwningProcess","Section"
"Ethernet","fe80::e8f6:41b5:b60:828f%4","IPv6","","","","","","","IPAddresses"
"Loopback Pseudo-Interface 1","::1","IPv6","","","","","","","IPAddresses"
"Ethernet","10.0.2.8","IPv4","","","","","","","IPAddresses"
"Loopback Pseudo-Interface 1","127.0.0.1","IPv4","","","","","","","IPAddresses"
"Ethernet","","","255.255.255.255/32","0.0.0.0","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","255.255.255.255/32","0.0.0.0","256","","","","RoutingTable"
"Ethernet","","","224.0.0.0/4","0.0.0.0","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","224.0.0.0/4","0.0.0.0","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","127.255.255.255/32","0.0.0.0","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","127.0.0.1/32","0.0.0.0","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","127.0.0.0/8","0.0.0.0","256","","","","RoutingTable"
"Ethernet","","","10.0.2.255/32","0.0.0.0","256","","","","RoutingTable"
"Ethernet","","","10.0.2.8/32","0.0.0.0","256","","","","RoutingTable"
"Ethernet","","","10.0.2.0/24","0.0.0.0","256","","","","RoutingTable"
"Ethernet","","","0.0.0.0/0","10.0.2.1","256","","","","RoutingTable"
"Ethernet","","","ff00::/8","::","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","ff00::/8","::","256","","","","RoutingTable"
"Ethernet","","","fe80::e8f6:41b5:b60:828f/128","::","256","","","","RoutingTable"
"Ethernet","","","fe80::/64","::","256","","","","RoutingTable"
"Loopback Pseudo-Interface 1","","","::1/128","::","256","","","","RoutingTable"
"","","","","","","::","49669","692","ListeningPorts"
"","","","","","","::","49668","712","ListeningPorts"
"","","","","","","::","49667","1436","ListeningPorts"
"","","","","","","::","49666","1340","ListeningPorts"
"","","","","","","::","49665","548","ListeningPorts"
"","","","","","","::","49664","712","ListeningPorts"
"","","","","","","::","47001","4","ListeningPorts"
"","","","","","","::","5985","4","ListeningPorts"
"","","","","","","::","445","4","ListeningPorts"
"","","","","","","::","135","948","ListeningPorts"
"","","","","","","0.0.0.0","49669","692","ListeningPorts"
"","","","","","","0.0.0.0","49668","712","ListeningPorts"
"","","","","","","0.0.0.0","49667","1436","ListeningPorts"
"","","","","","","0.0.0.0","49666","1340","ListeningPorts"
"","","","","","","0.0.0.0","49665","548","ListeningPorts"
"","","","","","","0.0.0.0","49664","712","ListeningPorts"
"","","","","","","0.0.0.0","5040","3820","ListeningPorts"
"","","","","","","10.0.2.8","139","4","ListeningPorts"
"","","","","","","0.0.0.0","135","948","ListeningPorts"

