"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","4252","0","4833280","28/04/2025 22:02:41"
"ApplicationFrameHost","4060","0,203125","30138368","28/04/2025 22:03:07"
"cmd","2784","0,03125","499712","28/04/2025 22:03:50"
"conhost","2688","0,71875","1523712","28/04/2025 22:03:50"
"csrss","476","0,75","5378048","28/04/2025 22:02:37"
"csrss","564","1,65625","5197824","28/04/2025 22:02:37"
"ctfmon","5156","0,328125","20647936","28/04/2025 22:02:58"
"dllhost","3608","0,078125","11538432","28/04/2025 22:02:39"
"dllhost","4532","0,109375","12718080","28/04/2025 22:03:04"
"dwm","1328","3,984375","60780544","28/04/2025 22:02:38"
"explorer","5392","4,265625","21229568","28/04/2025 22:02:58"
"fontdrvhost","868","0,0625","4022272","28/04/2025 22:02:38"
"fontdrvhost","876","0,140625","6995968","28/04/2025 22:02:38"
"Idle","0",,"8192",
"LogonUI","1184","0,875","70393856","28/04/2025 22:22:02"
"lsass","720","3,59375","21561344","28/04/2025 22:02:37"
"Memory Compression","2052","9,703125","67510272","28/04/2025 22:02:38"
"MicrosoftEdgeUpdate","4376","0,125","4136960","28/04/2025 22:02:58"
"MpDefenderCoreService","2940","0,875","16576512","28/04/2025 22:02:38"
"MsMpEng","3056","87,8125","226320384","28/04/2025 22:02:38"
"NisSrv","4952","0,046875","9531392","28/04/2025 22:02:45"
"OneDrive","7996","3,984375","13176832","28/04/2025 22:03:13"
"Registry","108","1,171875","72474624","28/04/2025 22:02:33"
"RuntimeBroker","1864","0,0625","17805312","28/04/2025 23:02:12"
"RuntimeBroker","5272","0,828125","29405184","28/04/2025 22:03:01"
"RuntimeBroker","5884","1,234375","42082304","28/04/2025 22:03:01"
"RuntimeBroker","6424","0,875","16826368","28/04/2025 22:03:02"
"SearchApp","5520","5,34375","196231168","28/04/2025 22:03:01"
"SearchIndexer","3816","2,328125","27996160","28/04/2025 22:02:39"
"SecurityHealthService","7208","1,109375","18628608","28/04/2025 22:03:07"
"SecurityHealthSystray","7876","0,078125","512000","28/04/2025 22:03:12"
"services","700","2,90625","13287424","28/04/2025 22:02:37"
"ShellExperienceHost","1440","0,375","46743552","28/04/2025 23:02:12"
"sihost","4656","0,734375","28246016","28/04/2025 22:02:58"
"smss","380","0,09375","1089536","28/04/2025 22:02:34"
"StartMenuExperienceHost","6040","0,65625","67395584","28/04/2025 22:03:01"
"svchost","420","0,296875","10772480","28/04/2025 22:02:38"
"svchost","732","0,03125","7815168","28/04/2025 22:02:38"
"svchost","740","0,46875","7118848","28/04/2025 22:02:38"
"svchost","788","0,296875","11702272","28/04/2025 22:04:39"
"svchost","820","0,015625","6594560","28/04/2025 22:17:41"
"svchost","832","2,484375","28999680","28/04/2025 22:02:38"
